date,vaccine
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,2260.0
2021-02-19,6524.0
2021-02-20,10414.0
2021-02-21,15388.0
2021-02-22,23059.0
2021-02-23,32315.0
2021-02-24,41809.0
2021-02-25,52647.0
2021-02-26,63648.0
2021-02-27,67303.0
2021-02-28,70527.0
2021-03-01,73047.0
2021-03-02,76037.0
2021-03-03,83570.0
2021-03-04,92029.0
2021-03-05,100180.0
2021-03-06,101573.0
2021-03-07,101573.0
2021-03-08,101841.0
2021-03-09,107054.0
2021-03-10,128887.0
2021-03-11,138014.0
2021-03-12,145215.0
2021-03-13,145544.0
2021-03-14,145544.0
2021-03-15,147753.0
2021-03-16,157286.0
2021-03-17,168413.0
2021-03-18,177275.0
2021-03-19,182983.0
2021-03-20,182983.0
2021-03-21,182983.0
2021-03-22,182983.0
2021-03-23,194257.0
2021-03-24,207808.0
2021-03-25,220129.0
2021-03-26,231002.0
2021-03-27,231605.0
2021-03-28,231605.0
2021-03-29,239665.0
2021-03-30,251707.0
2021-03-31,263878.0
2021-04-01,269102.0
2021-04-02,269102.0
2021-04-03,269102.0
2021-04-04,269102.0
2021-04-05,269102.0
2021-04-06,272438.0
2021-04-07,278909.0
2021-04-08,283629.0
2021-04-09,288368.0
2021-04-10,288406.0
2021-04-11,288406.0
2021-04-12,289787.0
2021-04-13,292623.0
2021-04-14,292623.0
2021-04-15,292623.0
2021-04-16,292623.0
2021-04-17,292623.0
2021-04-18,292623.0
2021-04-19,292623.0
2021-04-20,292623.0
2021-04-21,292623.0
2021-04-22,292623.0
2021-04-23,292623.0
2021-04-24,292623.0
2021-04-25,292623.0
2021-04-26,292623.0
2021-04-27,292623.0
2021-04-28,298153.0
2021-04-29,307591.0
2021-04-30,317656.0
2021-05-01,318670.0
2021-05-02,318670.0
2021-05-03,329098.0
2021-05-04,353181.0
2021-05-05,366101.0
2021-05-06,366101.0
2021-05-07,381171.0
2021-05-08,382480.0
2021-05-09,382480.0
2021-05-10,395230.0
2021-05-12,414372.0
2021-05-13,430730.0
2021-05-14,455169.0
2021-05-15,474318.0
2021-05-16,474318.0
2021-05-17,478733.0
2021-05-18,478733.0
2021-05-19,519139.0
2021-05-20,558170.0
2021-05-21,597406.0
2021-05-22,642382.0
2021-05-23,642946.0
2021-05-24,642946.0
2021-05-25,642946.0
2021-05-26,642946.0
2021-05-27,642946.0
2021-05-28,642946.0
2021-05-29,642946.0
2021-05-30,642946.0
2021-05-31,642946.0
2021-06-01,642946.0
2021-06-02,642946.0
2021-06-03,642946.0
2021-06-04,642946.0
2021-06-05,642946.0
2021-06-06,642946.0
2021-06-07,642946.0
2021-06-08,642946.0
2021-06-09,642946.0
2021-06-10,642946.0
2021-06-11,642946.0
2021-06-12,642946.0
2021-06-13,642946.0
2021-06-14,642946.0
2021-06-15,642946.0
2021-06-16,642946.0
2021-06-17,642946.0
2021-06-18,1974099.0
2021-06-19,1974099.0
2021-06-20,2069346.0
2021-06-21,2069346.0
2021-06-22,2141624.0
2021-06-23,2229242.0
2021-06-24,2229242.0
2021-06-25,2550248.0
2021-06-26,2550248.0
2021-06-27,2661378.0
2021-06-28,2661378.0
2021-06-29,2787996.0
2021-06-30,2900666.0
2021-07-01,3026636.0
2021-07-02,3155717.0
2021-07-03,3155717.0
2021-07-04,3155717.0
2021-07-05,3314278.0
2021-07-06,3314278.0
2021-07-07,3314278.0
2021-07-08,3819730.0
2021-07-09,3639039.0
2021-07-10,3639039.0
2021-07-11,3756282.0
2021-07-12,3783990.0
2021-07-13,3783990.0
2021-07-14,3995020.0
2021-07-15,3995020.0
2021-07-16,3995020.0
2021-07-17,4335517.0
2021-07-18,4335517.0
2021-07-19,4335517.0
2021-07-20,4376024.0
2021-07-21,4533966.0
2021-07-22,4533966.0
2021-07-23,5045795.0
2021-07-24,5202583.0
2021-07-25,5202583.0
2021-07-26,5266979.0
2021-07-27,5266979.0
2021-07-28,5580927.0
2021-07-29,5580927.0
2021-07-30,5921627.0
2021-07-31,5921627.0
2021-08-01,5921627.0
2021-08-02,5921627.0
2021-08-03,6123925.0
2021-08-04,6403808.0
2021-08-05,6403808.0
2021-08-06,6546410.0
2021-08-07,6546410.0
2021-08-08,6546410.0
2021-08-09,6866089.0
2021-08-10,6866089.0
2021-08-11,6866089.0
2021-08-12,6995459.0
2021-08-13,7249045.0
2021-08-14,7249045.0
2021-08-15,7249045.0
2021-08-16,7249045.0
2021-08-17,7486036.0
2021-08-18,7486036.0
2021-08-19,7702298.0
2021-08-20,7808653.0
2021-08-21,7986245.0
2021-08-22,7986245.0
2021-08-23,8017522.0
2021-08-24,8240067.0
2021-08-25,8439579.0
2021-08-26,8439579.0
2021-08-27,8439579.0
2021-08-28,8439579.0
2021-08-29,9026420.0
2021-08-30,9026420.0
2021-08-31,9253007.0
2021-09-01,9418185.0
2021-09-02,9581161.0
2021-09-03,9741655.0
2021-09-04,9741655.0
2021-09-05,9741655.0
2021-09-06,9961650.0
