date,confirmed
2020-03-03,188
2020-03-04,240
2020-03-05,349
2020-03-06,534
2020-03-07,684
2020-03-08,847
2020-03-09,1112
2020-03-10,1296
2020-03-11,1567
2020-03-12,2369
2020-03-13,3062
2020-03-14,3795
2020-03-15,4838
2020-03-16,6012
2020-03-17,7156
2020-03-18,8198
2020-03-19,10999
2020-03-20,13957
2020-03-21,16662
2020-03-22,18610
2020-03-23,22672
2020-03-24,27436
2020-03-25,31554
2020-03-26,36508
2020-03-27,42288
2020-03-28,48582
2020-03-29,52547
2020-03-30,57298
2020-03-31,61913
2020-04-01,67366
2020-04-02,73522
2020-04-03,79696
2020-04-04,85778
2020-04-05,91714
2020-04-06,95391
2020-04-07,99225
2020-04-08,103228
2020-04-09,108202
2020-04-10,113525
2020-04-11,117658
2020-04-12,120479
2020-04-13,123016
2020-04-14,125098
2020-04-15,127584
2020-04-16,130450
2020-04-17,133830
2020-04-18,137439
2020-04-19,139897
2020-04-20,141672
